"DATE","Demand_Shocks","Supply_Shocks","Risk_Shocks","NSE AUTO","NSE BANK","NSE ENERGY","NSE FIN","NSE FMCG","NSE IT","NSE MED","NSE MET","NSE PHARMA"
2008-02-26,-1.131358742,-1.104944427,-5.504867266,0.008821101,0.008740553,0.016253745,0.007653096,0.005578327,0.013777647,-0.003929264,0.025238224,0.004420286
2008-02-27,0.344163828,3.532964821,-4.608411983,0.005869724,-0.002590866,0.001401669,0.004440219,0.004313865,-0.019413136,-0.00491549,-0.009927557,0.01723951
2008-02-28,-2.253177487,-0.375460194,2.866213991,0.007377201,-0.012770081,-0.006758119,-0.007766695,-0.003497679,0.000923964,-0.007158603,0.023571518,0.024640368
2008-02-29,1.207367574,1.502594044,-0.24889872,0.012866657,0.009305027,-0.009545869,0.00192933,0.012452683,-0.019163785,-0.000183025,-0.016194847,-0.005017654
2008-03-03,-1.689482042,-3.453584206,9.046556877,-0.007372882,-0.073765445,-0.057110855,-0.076574015,-0.023636707,-0.040005019,-0.022964198,-0.059076784,0.005188006
2008-03-04,1.917617078,4.910112746,0.143162543,-0.001180093,-0.038627143,-0.019704571,-0.028473844,-0.022753117,-0.011267679,-0.011700203,-0.008448423,-0.01879587
2008-03-05,-4.125855754,1.492360154,-1.197913847,0.001638197,-0.019162164,0.017730484,-0.004370546,0.020415727,0.031927552,0.004200675,0.004851703,0.024987175
2008-03-07,-0.374173916,2.384262472,4.456951049,-0.043425467,-0.042196261,-0.038445145,-0.046488515,-0.011202462,-0.036051502,-0.039297318,-0.022027409,-0.022135764
2008-03-10,3.952491478,0.716810766,-4.095249418,0.001419623,0.000598502,0.015302,-0.011333042,-0.00292992,-0.016121529,-0.000615381,0.014371598,-0.006909801
2008-03-11,-1.693747115,0.982744512,-1.449366285,0.004858161,0.011536611,0.031529207,0.011606278,0.013263238,-0.008739936,0.047687794,0.012522075,-0.000268007
2008-03-12,0.979630519,0.919672247,-3.781935393,-0.003521743,-0.00201865,0.009631341,0.000969737,-0.009969304,-0.013014268,-0.022165918,-0.026757642,0.012699384
2008-03-13,-2.005120757,0.267197542,-3.085287901,-0.023127241,-0.058148484,-0.052238455,-0.058184449,-0.023148107,-0.050202966,-0.052281739,-0.082164482,-0.025158321
2008-03-14,-2.728204872,-3.57958466,4.746215504,-0.001343475,0.027673129,0.030393195,0.025545885,0.018639187,0.026515482,0.013489027,0.029358319,0.019715152
2008-03-17,2.809766113,3.091197224,-4.20591398,-0.044839202,-0.077371236,-0.050097281,-0.089656789,-0.033716319,-0.035332937,-0.051597297,-0.070393254,-0.045738535
2008-03-18,-5.071706172,-4.290421678,-1.02007596,-0.002822415,-0.012720783,-0.003656564,-0.013082206,0.005510932,0.010099972,-0.00923744,-0.015510393,0.005602722
2008-03-19,1.406193799,-3.747588633,-2.977765678,0.013785012,-0.002510505,0.004139565,0.003327498,0.005025979,0.017672621,-0.004896831,0.014602373,0.00696972
2008-03-24,-0.62359467,0.040842155,-0.909008976,-0.003543376,0.027576647,0.000772951,0.034107536,0.018329769,0.017737029,-0.03652172,-0.04258831,0.006190113
2008-03-25,1.771240431,4.06692622,10.79206871,0.038444178,0.077254092,0.056749131,0.086224244,0.022382467,0.075296429,0.05332773,0.058283334,0.019067082
